row_num_1,Timestamp,Source IP Address,Destination IP Address,Source Port,Destination Port,Protocol,Packet Length,Packet Type,Traffic Type,Payload Data,Malware Indicators,Anomaly Scores,Alerts/Warnings,Attack Type,Attack Signature,Action Taken,Severity Level,User Information,Device Information,Network Segment,Geo-location Data,Proxy Information,Firewall Logs,IDS/IPS Alerts,Log Source,Invalid Columns
5,2023-07-16 13:11:07,71.166.185.76,189.243.174.238,6131,26646,TCP,1462,Data,DNS,Odit nesciunt dolorem nisi iste iusto. Animi voluptates soluta quis doloribus quas. Iure harum nihil hic illo repellendus. Quia illo fugit eligendi doloremque. In doloremque autem iure.,,0.52,Alert Triggered,DDoS,Known Pattern B,Blocked,Low,Dhanush Chad,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.2; Trident/3.0),Segment C,"Anantapur, Tripura",149.6.110.119,,Alert Data,Firewall,Device Information (Suspect Bot)
23,2023-02-24 06:39:25,57.7.171.107,76.146.23.52,3133,46077,UDP,1425,Data,DNS,Praesentium voluptatibus sapiente.,,72.25,,DDoS,Known Pattern A,Logged,High,Akarsh Khurana,Mozilla/5.0 (compatible; MSIE 5.0; Windows 95; Trident/5.1),Segment A,"Gaya, Gujarat",169.32.12.215,,Alert Data,Server,Device Information (Suspect Bot)
25,2023-10-06 06:53:51,71.41.31.239,105.193.254.47,39911,27107,TCP,1386,Control,DNS,Ducimus totam dolor fugiat ipsa. Eum quas consectetur distinctio cum. Voluptatum numquam ab quasi molestiae laboriosam maiores. Illo nemo nulla cupiditate placeat nemo quo.,IoC Detected,67.43,,DDoS,Known Pattern A,Blocked,Medium,Anika Sharaf,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.1; Trident/5.1),Segment C,"Guntakal, Rajasthan",,Log Data,,Server,Device Information (Suspect Bot)
28,2020-08-28 09:54:45,208.44.127.159,121.167.40.167,56607,33023,TCP,282,Control,HTTP,Fugit quae placeat dicta tenetur ipsa. Facilis optio corrupti nulla. Eos iste voluptatum natus dignissimos fugiat.,IoC Detected,44.4,Alert Triggered,DDoS,Known Pattern A,Logged,Low,Anahi Apte,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; Trident/5.0),Segment A,"Shahjahanpur, Andhra Pradesh",180.52.47.153,,Alert Data,Firewall,Source IP Address (RBL)
49,2021-08-20 14:42:57,118.175.170.127,43.100.128.47,23934,57206,TCP,1378,Control,DNS,Pariatur quia dolore praesentium. Ut dolorem nihil nulla. Ab unde maiores deserunt tempora. Debitis numquam sed nisi. Vitae deleniti cum.,IoC Detected,40.71,,Malware,Known Pattern A,Blocked,Medium,Nishith Tandon,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 10.0; Trident/4.1),Segment C,"Giridih, Chhattisgarh",20.86.235.147,Log Data,Alert Data,Firewall,Device Information (Suspect Bot)
59,2021-03-24 09:50:44,123.233.44.106,154.223.194.82,38169,9878,TCP,1497,Control,HTTP,Iusto voluptas nesciunt dignissimos incidunt. Enim quasi quidem impedit quos.,,82.8,Alert Triggered,Malware,Known Pattern B,Ignored,Low,Tara Deol,"Mozilla/5.0 (Windows; U; Windows NT 10.0) AppleWebKit/531.34.5 (KHTML, like Gecko) Version/5.0 Safari/531.34.5",Segment C,"Bhatpara, West Bengal",98.113.146.243,,Alert Data,Server,Source IP Address (RBL)
74,2020-06-30 01:24:54,70.228.121.60,204.219.67.217,11307,36569,TCP,907,Control,DNS,In consequatur vel. Beatae sapiente vero ipsum unde consequuntur nostrum dignissimos. Autem iure tempore maxime architecto placeat voluptate.,,12.1,,Malware,Known Pattern B,Logged,Medium,Zaina Ganguly,Mozilla/5.0 (compatible; MSIE 5.0; Windows 98; Trident/5.1),Segment B,"Varanasi, Telangana",107.248.33.137,Log Data,,Firewall,Device Information (Suspect Bot)
75,2020-07-07 03:50:24,201.86.3.78,13.200.168.199,62568,27834,ICMP,1427,Data,HTTP,Harum repellat eum asperiores voluptatum ad sapiente. Veniam saepe fuga ab aperiam.,IoC Detected,3.33,,Intrusion,Known Pattern A,Ignored,High,Mamooty Upadhyay,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.0; Trident/5.0),Segment B,"Indore, Rajasthan",,,,Server,Device Information (Suspect Bot)
77,2020-03-09 20:24:39,46.229.143.176,218.214.206.217,54052,10368,ICMP,686,Control,DNS,Voluptatibus nemo doloribus sint. Laudantium molestias dolor. Aut suscipit vero iste.,,96.83,,DDoS,Known Pattern A,Ignored,Low,Ishaan Kumer,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.1; Trident/3.0),Segment B,"Gopalpur, Andhra Pradesh",,,,Server,Device Information (Suspect Bot)
80,2021-04-12 15:06:50,86.45.110.141,92.133.40.138,31548,18263,UDP,811,Data,FTP,Deleniti excepturi quisquam eveniet optio. Mollitia voluptate dolore neque quas maiores aliquam.,IoC Detected,45.33,,Malware,Known Pattern B,Blocked,Medium,Urvi Warrior,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 10.0; Trident/5.0),Segment C,"Begusarai, Andhra Pradesh",,,,Server,Device Information (Suspect Bot)
